Movie,budget,dom_gross,year,month,day,RT_title,RT_aud_score,RT_crit_score,RT_runtime,RT_cast1,RT_cast2,RT_cast3,imdb_id,Metascore,Language,Director,Genre,imdbRating,imdbVotes,mpaa_kid,mpaa_adult,Holiday,DayOfWeek
Flight,31000000,93772375,2012,11,2,Flight,75.0,78.0,139.0,Denzel Washington,Don Cheadle,Kelly Reilly,tt1907668,76.0,English,Robert Zemeckis,"Drama, Thriller",7.3,187475.0,0,1,0,4
Frequency,31000000,44983704,2000,4,28,Frequency,81.0,70.0,121.0,Dennis Quaid,Jim Caviezel,Andre Braugher,tt0186151,67.0,English,Gregory Hoblit,"Crime, Drama, Fantasy",7.3,66554.0,1,0,0,4
Hearts in Atlantis,31000000,24185781,2001,9,28,Hearts in Atlantis,65.0,50.0,101.0,Anthony Hopkins,Anton Yelchin,Hope Davis,tt0252501,55.0,English,Scott Hicks,"Drama, Mystery",6.9,26488.0,1,0,0,4
Extraordinary Measures,31000000,12482741,2010,1,22,Extraordinary Measures,54.0,28.0,106.0,Harrison Ford,Brendan Fraser,Keri Russell,tt1244659,45.0,English,Tom Vaughan,Drama,6.5,11963.0,1,0,0,4
Get Shorty,30250000,72021008,1995,10,20,Get Shorty,70.0,86.0,105.0,John Travolta,Gene Hackman,Rene Russo,tt0113161,82.0,English,Barry Sonnenfeld,"Comedy, Crime, Thriller",6.9,53389.0,0,1,0,4
Toy Story,30000000,191780865,1995,11,22,Toy Story,92.0,100.0,80.0,Tom Hanks,Tim Allen,Don Rickles,tt0114709,92.0,English,John Lasseter,"Animation, Adventure, Comedy",8.3,402699.0,1,0,1,2
Chicago,30000000,170687518,2002,12,27,Chicago,83.0,87.0,113.0,Catherine Zeta-Jones,Renee Zellweger,Richard Gere,tt0299658,82.0,"English, Hungarian",Rob Marshall,"Comedy, Crime, Musical",7.2,137422.0,1,0,1,4
Big Daddy,30000000,163479795,1999,6,25,Big Daddy,75.0,40.0,89.0,Adam Sandler,Joey Lauren Adams,Jon Stewart,tt0142342,41.0,"English, Italian",Dennis Dugan,"Comedy, Drama",6.4,120601.0,1,0,0,4
American Pie 2,30000000,145096820,2001,8,10,American Pie 2,68.0,52.0,96.0,Jason Biggs,Shannon Elizabeth,Jennifer Coolidge,tt0252866,43.0,English,J.B. Rogers,"Comedy, Romance",6.4,157017.0,0,1,0,4
Speed,30000000,121248145,1994,6,10,Speed,75.0,93.0,115.0,Keanu Reeves,Dennis Hopper,Sandra Bullock,tt0111257,78.0,English,Jan de Bont,"Action, Crime, Thriller",7.2,202346.0,0,1,0,4
The Hunt for Red October,30000000,120709866,1990,3,2,The Hunt for Red October,89.0,96.0,135.0,Sean Connery,Alec Baldwin,Scott Glenn,tt0099810,58.0,"English, Russian",John McTiernan,"Action, Adventure, Thriller",7.6,115471.0,1,0,0,4
Lee Daniels' The Butler,30000000,116629488,2013,8,16,Lee Daniels' The Butler,80.0,73.0,132.0,Forest Whitaker,Oprah Winfrey,Cuba Gooding Jr.,tt1327773,66.0,English,Lee Daniels,"Biography, Drama",7.1,40162.0,1,0,0,4
Remember the Titans,30000000,115654751,2000,9,29,Remember the Titans,93.0,73.0,113.0,Denzel Washington,Will Patton,Donald Faison,tt0210945,48.0,English,Boaz Yakin,"Biography, Drama, Sport",7.7,124305.0,1,0,0,4
District 9,30000000,115646235,2009,8,14,District 9,82.0,90.0,112.0,Sharlto Copley,Jason Cope,David James,tt1136608,81.0,"English, Nyanja, Afrikaans, Zulu, Xhosa, Southern Sotho",Neill Blomkamp,"Action, Sci-Fi, Thriller",8.0,412202.0,0,1,0,4
Dodgeball: A True Underdog Story,30000000,114326736,2004,6,18,Dodgeball - A True Underdog Story,76.0,70.0,98.0,Ben Stiller,Vince Vaughn,Christine Taylor,tt0364725,55.0,"English, German",Rawson Marshall Thurber,"Comedy, Sport",6.7,135211.0,1,0,0,4
Ace Ventura: When Nature Calls,30000000,108360063,1995,11,10,Ace Ventura - When Nature Calls,72.0,33.0,94.0,Jim Carrey,Ian McNeice,Simon Callow,tt0112281,45.0,English,Steve Oedekerk,Comedy,6.2,116260.0,1,0,1,4
The Princess Diaries,30000000,108244774,2001,8,3,The Princess Diaries,68.0,47.0,114.0,Anne Hathaway,Julie Andrews,Hector Elizondo,tt0247638,52.0,English,Garry Marshall,"Comedy, Family, Romance",6.1,63651.0,1,0,0,4
Analyze This,30000000,106885658,1999,3,5,Analyze This,62.0,69.0,110.0,Robert De Niro,Billy Crystal,Lisa Kudrow,tt0122933,61.0,English,Harold Ramis,"Comedy, Crime",6.7,103142.0,0,1,0,4
The First Wives Club,30000000,105489203,1996,9,20,The First Wives Club,69.0,39.0,94.0,Bette Midler,Goldie Hawn,Diane Keaton,tt0116313,58.0,English,Hugh Wilson,Comedy,6.1,25096.0,1,0,0,4
Million Dollar Baby,30000000,100492203,2004,12,15,Million Dollar Baby,90.0,91.0,133.0,Clint Eastwood,Hilary Swank,Morgan Freeman,tt0405159,86.0,"English, Irish",Clint Eastwood,"Drama, Sport",8.1,328687.0,1,0,0,2
